BT11,BT12,Lat,Long,cloud,Jd,In Situ,SVR,ANN,RF,Delta SVR,Delta ANN,Delta RF
-28.713324,-29.858969,18.121742,72.975685,1,208,28.200001,27.703,28.063,28.253,0.497001,0.137001,-0.052999
6.588586,3.313287,10.80783,69.890656,1,166,29.700001,29.578,29.579,29.656,0.122001,0.121001,0.044001
25.570551,24.917139,13.557276,69.223808,0,70,28.799999,28.581,28.735,28.735,0.218999,0.064999,0.064999
10.595972,7.228509,7.926061,67.290634,1,345,28.799999,28.812,28.711,28.776,-0.012001,0.088999,0.023999
-47.597221,-47.776649,14.09391,72.980553,1,207,28.4,28.541,27.911,28.472,-0.141,0.489,-0.072
23.721155,22.675928,10.4964,63.447544,0,52,28.1,27.664,27.619,28.234,0.436,0.481,-0.134
-18.45101,-19.72817,8.329478,72.766548,1,221,27.9,28.267,28.055,27.916,-0.367,-0.155,-0.016
3.8276,0.837244,9.107279,74.102829,1,283,28.200001,28.193,28.616,28.33,0.007001,-0.415999,-0.129999
-0.111884,-3.592993,3.939493,68.306938,1,226,29.4,29.205,29.538,29.317,0.195,-0.138,0.083
-36.985313,-39.538261,6.279311,75.397629,1,202,28.299999,28.857,28.58,28.421,-0.557001,-0.280001,-0.121001
14.535608,13.403284,19.510681,62.341457,1,215,26.700001,26.646,26.657,26.694,0.054001,0.043001,0.006001
16.972437,15.452662,12.915477,69.28891,1,332,28.6,28.63,28.346,28.683,-0.03,0.254,-0.083
25.74856,25.083735,14.560894,66.439171,1,88,28.700001,28.709,29.022,28.666,-0.008999,-0.321999,0.034001
17.653864,16.413904,20.676443,61.716431,1,335,26.700001,26.904,26.96,26.555,-0.203999,-0.259999,0.145001
26.67309,25.872797,14.56132,65.325714,0,109,30,29.786,29.697,29.975,0.214,0.303,0.025
19.80398,17.780176,19.537762,72.61895,1,203,29.6,29.384,28.629,29.644,0.216,0.971,-0.044
